Noun,Freq
미산,100
승인,100
장내,100
미트,100
노동,100
대기업,100
순대,100
참가,100
혜택,100
남부,99
수렴,99
중간,99
해석,99
노하우,99
취소,99
운용,99
국내외,99
보수,99
복당,99
수산,99
중지,99
투약,99
정신,99
급수,99
인공,99
배달,98
균일,98
물품,98
물류,98
뱅크,98
종별,98
도래,98
변,98
참석자,98
끌,97
독자,97
줄곧,97
적발,97
남,97
자신감,97
봄철,97
간접,97
상환,97
단독,97
제일제당,97
창간,96
대안,96
용이,96
거점,96
법률,96
신,96
대목,96
아미노산,96
누적,95
맞이,95
발간,95
민,95
지역화,95
상치,95
기피,95
생리,95
건투,95
세부,95
대출,95
지혜,94
건수,94
기부,94
시리즈,94
채취,94
자유,94
과장,94
신축,94
불과,94
차질,94
눈길,94
경영인,94
만약,94
지붕,94
주어,94
요건,94
컨설턴트,94
철원,93
겹,93
오늘,93
일당,93
나들이,93
호황,93
다발,92
지출,92
내내,92
종류,92
수집,92
이병규,92
숨,92
과언,92
가뭄,92
부채,92
젖먹이,92
역사,91
설문,91
지구,91
폭등,91
체크,91
분비,91
발휘,91
영농,91
개학,91
유형,91
여성,91
증명서,91
다짐,91
땅,91
세상,90
법인,90
명칭,90
실시간,90
부터,90
대량,90
공통,90
건설,90
생물,90
접,90
초산,90
반출,90
축적,90
등지,90
인천,90
생명,90
주체,90
주사기,90
방송,89
호응,89
작동,89
함유,89
난,89
대가,89
그림,89
피부,89
베트,89
숫자,89
병행,89
부가,89
도내,89
머리,88
하자,88
소매,88
그간,88
시료,88
석,88
본부장,88
장화,88
수단,88
유예,88
돌입,88
백만원,88
나가야,88
재기,88
실종,87
성도,87
변동성,87
주도,87
치가,87
진정,87
소장,87
갓난,87
폭발,87
몽골,87
윤,87
협,87
여론,87
포천,86
인간,86
체감,86
수산물,86
실패,86
명의,86
상의,86
완공,86
장기간,86
포,86
피트,86
래서,86
인원,86
화해,86
신호,86
잔류,86
체제,86
잠시,86
강의,86
타결,86
부상,85
자국,85
후원,85
긴장,85
성금,85
주관,85
가도,85
침입,85
뉴,85
밀,85
호텔,85
압박,85
기계,85
권,85
쥐,85
팜텍,85
저,85
쿨링,85
둔갑,85
돌,84
조리,84
오리,84
포부,84
대감,84
희생,84
내장,84
지대,84
경력,84
인체,84
발목,84
무한리필,84
도약,84
생균제,84
상담,84
연령,83
유체,83
충격,83
김포,83
개척,83
급성,83
하순,83
기인,83
오름,83
선언,83
구,83
장애,83
분양,83
체육,82
장소,82
초청,82
우수상,82
성명,82
편,82
법적,82
전화,82
자칫,82
정의,82
입구,82
동원,82
사육제,82
꼽았다,82
한도,82
선거,82
평원,82
락토파민,82
샛바람,81
불확실,81
채널,81
미흡,81
밀도,81
재정,81
의사,81
강제,81
자문,81
일관,81
일석,81
목전,81
항,81
사무국,81
확률,81
발동,81
발판,80
양질,80
암퇘지,80
태국,80
고유,80
잡,80
수지,80
배정,80
기상청,79
독려,79
문화원,79
마감,79
이바지,79
신생,79
야기,79
입력,79
인지도,79
방이,79
총회,79
리기,79
체인,79
북미,79
암모니아,79
흑자,79
재작년,79
허브,79
배설,79
이병,79
연구소장,78
금융,78
저가,78
농사,78
병원균,78
주인,78
자궁,78
형질,78
직전,78
일찍,78
해양,78
심각,77
육사,77
벌써,77
상호,77
증정,77
농업인,77
고수,77
완전,77
자랑,77
