Date,Nouns
2019.12.17,"['소비', '가격', '가격', '제외', '김장', '할인', '행사', '감소', '수요', '가격', '상승세', '변화', '수요', '보합', '지속', '축산물', '거래', '감소', '가격', '제외', '하락', '출하', '대비', '산정', '출하', '가격', '가격', '가격', '시세', '보합', '보합', '개최', '소비', '조사', '소비', '생산자', '대응', '수입', '소비자', '추세', '수입', '우려', '대책', '마련', '할인', '행사', '영향', '김장', '가격', '약세', '전환', '보합', '소비', '대비', '구매', '증가', '반등', '전환', '기대', '소비', '가격', '금지']"
2019.12.16,"['축산물품질평가원', '축산물', '거래', '증가', '물량', '출하', '가격', '제외', '하락', '출현', '감소', '출하', '대비', '산정', '출하', '가격', '가격', '가격', '시세', '출하물량', '출하', '감소', '금지']"
2019.12.13,"['축산물품질평가원', '축산물', '거래', '감소', '물량', '출하', '가격', '제외', '하락', '출현', '출하', '대비', '산정', '출하', '가격', '가격', '가격', '시세', '출하물량', '소비', '보합', '금지']"
2019.12.13,"['겨울', '유행', '대비', '요구', '겨울철', '유행', '우려', '농가', '방역', '강화', '조치', '추진', '농림축산검역본부', '항체', '조사', '유행', '우려', '농가', '주의', '당부', '가축', '방역', '발생', '급증', '발생', '예방', '백신', '접종', '실시', '출입', '차단', '농장', '소독', '제거', '소독', '금지']"
2019.12.13,"['시세', '전환', '가격', '하락', '중단', '중단', '가격', '거래', '시세', '중단', '작업', '극복', '향상', '시행', '가격', '출하', '증가', '소비', '감소', '영향', '하락', '기대', '향상', '가격', '지속', '하락', '가격', '하락', '출하', '증가', '소비', '감소', '영향', '시세', '영향', '가격', '상승', '출현', '전환', '변동', '중단', '확대', '추진', '시행', '도입', '향상', '가격', '변경', '가격', '현상', '전환', '향상', '방안', '논의', '본격', '시작', '금지']"
2019.12.13,"['수입', '감소', '재고', '시작', '유통', '수출', '수입', '재고', '물량', '감소', '연속', '감소', '감소', '대비', '증가', '대비', '수입량', '대비', '감소', '금지']"
2019.12.13,"['생산량', '증가', '경제', '생산량', '증가', '생산량', '생산량', '생산량', '대비', '증가', '증가', '증가', '대비', '수요', '기대', '생산량', '증가', '대비', '상승', '금지']"
2019.12.13,"['시장', '무역', '시작', '무역', '시장', '시장', '무역', '관세', '시행', '관세', '관세', '정부', '추진', '시작', '무역', '영향', '수입', '시장', '우려', '수입량', '대비', '제외', '수입', '증가', '무역', '관세', '수입', '증가', '결정', '무역', '지원', '추가', '강화', '추진', '금지']"
2019.12.13,"['변동', '발견', '생산', '저하', '폐사', '문제', '발생', '여부', '변화', '농장', '생산', '성과', '현상', '유지', '변화', '사업', '사료', '발견', '전염병', '문제', '해결', '아프리카', '열병', '발견', '신고', '대처', '문제', '사고', '시작', '변화', '발생', '문제', '해결', '농장', '규모', '증상', '감염', '질병', '사항', '소독', '실시', '변동', '실시', '농장', '폐기', '첨가', '공급', '점검', '농장', '추가', '사고', '농장', '확인', '확인', '문제', '현상', '발견', '세균', '공급', '공급', '부족', '사고', '사고', '진단', '발생', '사료', '발생', '발생', '항생제', '농장', '공급', '발생', '우려', '사고', '중단', '진단', '공급', '부족', '발생', '증상', '악화', '공급', '진단', '증상', '질병', '진행', '전염', '질병', '판정', '추가', '증상', '회복', '회복', '발생', '농장', '방역', '농장', '방역', '소독', '실시', '증가', '증가', '공급', '확인', '주위', '주의', '사료', '농장', '금지']"
2019.12.13,"['평가', '주위', '산업', '소비', '구제역', '아프리카', '열병', '처분', '소비', '급감', '소비', '감소', '소비', '가격', '하락', '문제', '여파', '회복', '지속', '농가', '손실', '정부', '위로', '공급', '사료', '발생', '당부', '억제', '발생', '농가', '참여', '조성', '소비', '홍보', '이용', '소비', '개선', '소비자', '소비자', '기대', '산업', '소비자', '생존', '대처', '금지']"
2019.12.13,"['축산물품질평가원', '축산물', '거래', '물량', '출하', '가격', '제외', '상승', '출현', '상승', '출하', '대비', '산정', '출하', '가격', '가격', '가격', '시세', '출현', '하락', '소비', '증가', '기대', '상승', '금지']"
2019.12.12,"['시장', '수입', '시장', '수입', '시장', '개최', '소비자', '외식', '이용', '수입', '원산지', '사용', '수입', '사용', '사용', '수입', '증가', '영향', '외식', '소비', '외식', '수요', '수요', '증가', '시장', '수입', '소비자', '원산지', '가격', '시장', '수입', '수입', '물량', '소비', '확대', '대책', '마련', '요구', '금지']"
