Date,TF_IDF
2019.12.17,"[0.22016153880785047, 0.05077386101165171, 0.1652848403580716, 0.4024214120337604, 0.10172467999599306, 0.22899883259035705, 0.17256836014494756, 0.5547515040564168, 0.05084745249305296, 0.0980678504442989, 0.09731276470246002, 0.1453258845734087, 0.10780996460627276, 0.3030321997206485, 0.15034090787295862, 0.06927670274093141, 0.09076463022640512, 0.21989529319087733, 0.15641170668354437, 0.32352636399132345]"
2019.12.17,"[0.04498739521471857, 0.0515576533219332, 0.05612932957335234, 0.06332272022050522, 0.09799017805927815, 0.20959746634625534, 0.08462525651822586, 0.24857457714192407, 0.08612389121829266, 0.1392870580950805, 0.07377218462318663, 0.07518627471722006, 0.08788885132957751, 0.3325668410101724, 0.08274742551192496, 0.058345869696487765, 0.21194023635928919, 0.09173576133387626, 0.08387248308639911, 0.095440071482545, 0.09023923303638884, 0.10597011817964459, 0.11031999292072597, 0.1243307589588801, 0.7633510055338215]"
2019.12.17,"[0.37411789943657864, 0.09050615648002518, 0.09656970645886111, 0.07669281920426613, 0.14487398366944973, 0.27840938336971827, 0.09674758057633323, 0.10221351225713278, 0.18644529422960546, 0.031907013955439836, 0.06947249095391074, 0.09554178938600974, 0.30392442077576287, 0.15743170225499922, 0.08089826072310566, 0.053134829266377505, 0.26066077665308934, 0.20948503795156553, 0.10140469622350749, 0.10087675086814568, 0.06201328460124862, 0.05496151215112, 0.15999702717821224, 0.09008278075629539, 0.0930596860830873, 0.10113866982588976, 0.07628726423133843, 0.08642845905165324, 0.1179263915594561, 0.10728671089868268, 0.12938198381966937, 0.4491961890416109, 0.1187399857350195, 0.1308825597592994, 0.09639261650609839, 0.22928290057910655]"
2019.12.16,"[0.3924556606574208, 0.21362041310762125, 0.22793212516959033, 0.09050849333337461, 0.1702981102459554, 0.34194403390497413, 0.22835195895696297, 0.2200321078936244, 0.07530967800732971, 0.1639749470574995, 0.28600828508963994, 0.4510118938082446, 0.3347849885252839, 0.12541339307444346, 0.21939191431526547]"
2019.12.13,"[0.4008326548100789, 0.10909007805380795, 0.23279735268739477, 0.09244040359847182, 0.17393313559212917, 0.34924285377104486, 0.13423043268628107, 0.2332261478569934, 0.22472870897751318, 0.16747500403306223, 0.29211315239565416, 0.3454790812099255, 0.3419309980555735, 0.12809035092157894, 0.2240748504214253, 0.27071554704036843]"
2019.12.13,"[0.05295869977832374, 0.22345073484977296, 0.10607091591692099, 0.12682525435226574, 0.14327119951991985, 0.07999636864322605, 0.2248982226262085, 0.11904643461228923, 0.12610382720489235, 0.09991310105650573, 0.11936290418608166, 0.14451546638327298, 0.13877060044132142, 0.1351958281447382, 0.13394347325206396, 0.12581786283024937, 0.20062626710485537, 0.14415727459854344, 0.32190051293372046, 0.17794950232444318, 0.206716010600676, 0.22769825707065722, 0.20580403994082438, 0.15023440850927552, 0.49583687043831265, 0.20007969159160552, 0.17980509222024674, 0.14795644180870837]"
2019.12.13,"[0.3282432463255379, 0.0893342419400802, 0.09531927833862229, 0.06251617997755445, 0.10992176523517765, 0.2864845477853559, 0.06298773509202905, 0.09430467119970672, 0.14000423802081713, 0.12321323892744598, 0.07736106028043521, 0.2097872621151485, 0.1373890242515061, 0.18363092585717058, 0.12058798344552511, 0.05424984569955131, 0.09394201563632011, 0.13876231137377293, 0.08508316177870628, 0.08048835043892426, 0.09982908070699027, 0.14418175107215656, 0.10666743548887866, 0.20894922971274169, 0.339471063234983, 0.34923877949300597, 0.10612692485135279, 0.46679468760588394, 0.1242897675536739]"
2019.12.13,"[0.5419315394198079, 0.2755321352066417, 0.17281104498076114, 0.07642095461197512, 0.18771927797650118, 0.1995933822693855, 0.24161137768217125, 0.21174427434800075, 0.5596613624371061, 0.1837485066906518, 0.2634697972235247]"
2019.12.13,"[0.17367974742876197, 0.09562155802588472, 0.28902847398148673, 0.1188407579250364, 0.1548323437137076, 0.9031848808986895, 0.15269346650613472]"
2019.12.13,"[0.03519620165553224, 0.08556428413398588, 0.05857162164872268, 0.14387444623844195, 0.2156798818842622, 0.07425236228201833, 0.13888438980657436, 0.08114401073871835, 0.05691881176865246, 0.37601795948525163, 0.09784029424022751, 0.061538150747872646, 0.08079118666694722, 0.08901845239319149, 0.15823584553717637, 0.08380824586736614, 0.8218662432374111, 0.09714982772952174]"
